filename,category,pages,route,parameters_present,table_types,notes
GB_T_35846-2018.pdf,lighting,12,ocr,,,"571KB, sampled 0 chars"
GB_T_36005-2018.pdf,lighting,12,ocr,,,"442KB, sampled 0 chars"
GB_T_36949-2018.pdf,lighting,16,ocr,,,"866KB, sampled 0 chars"
GB_T_37637-2019.pdf,lighting,12,ocr,,,"1374KB, sampled 0 chars"
GB_T_38539-2020.pdf,lighting,27,text,,,"2061KB, sampled 1647 chars"
GB_T_39008-2020.pdf,lighting,13,text,,,"766KB, sampled 778 chars"
GB_T_39018-2020.pdf,lighting,21,text,,,"2132KB, sampled 872 chars"
GB_T_39021-2020.pdf,lighting,10,text,,,"615KB, sampled 911 chars"
GB_T_39022-2020.pdf,lighting,12,text,,,"259KB, sampled 388 chars"
GB_T_39075.202-2023.pdf,lighting,13,ocr,,,"2116KB, sampled 0 chars"
GB_T_39237-2020.pdf,lighting,30,text,,,"1759KB, sampled 2466 chars"
GB_T_39492-2020.pdf,lighting,6,text,,,"406KB, sampled 1246 chars"
GB_T_3978-2008.pdf,lighting,15,ocr,,,"556KB, sampled 0 chars"
GB_T_39930-2021.pdf,lighting,20,ocr,,,"5109KB, sampled 44 chars"
GB_T_39943-2021.pdf,lighting,8,ocr,,,"4113KB, sampled 44 chars"
GB_T_39950-2021.pdf,lighting,12,ocr,,,"3400KB, sampled 44 chars"
GB_T_42064-2022.pdf,lighting,38,ocr,,,"21501KB, sampled 0 chars"
GB_T_42219-2022.pdf,lighting,19,ocr,,,"8286KB, sampled 0 chars"
GB_T_42824-2023.pdf,lighting,13,ocr,,,"5119KB, sampled 0 chars"
GB_T_43017-2023.pdf,lighting,14,ocr,,,"2391KB, sampled 0 chars"
GB_T_43637-2024.pdf,lighting,37,ocr,,,"7331KB, sampled 0 chars"
GB_T_43723-2024.pdf,lighting,16,ocr,,,"2120KB, sampled 0 chars"
GB_T_4706.119-2024.pdf,lighting,25,ocr,,,"4847KB, sampled 0 chars"
GB_T_5700-2023.pdf,lighting,52,ocr,,,"26202KB, sampled 0 chars"
GB_T_7000.1_2023_182918.pdf,lighting,181,ocr,,,"64710KB, sampled 0 chars"
GB_T_7000.201-2023.pdf,lighting,11,ocr,,,"2346KB, sampled 0 chars"
GB_T_7000.205-2023.pdf,lighting,15,ocr,,,"2432KB, sampled 0 chars"
GB_T_7922-2023.pdf,lighting,17,ocr,,,"4325KB, sampled 0 chars"
GB_T_9468-2008.pdf,lighting,37,ocr,,,"1675KB, sampled 42 chars"
GB_Z 23153-2008.pdf,lighting,24,text,,,"1334KB, sampled 836 chars"
GB_Z_34447-2017.pdf,lighting,12,ocr,,,"2134KB, sampled 0 chars"
GB_Z_44064-2024.pdf,lighting,29,ocr,,,"8373KB, sampled 0 chars"
